split,MAE_test,RMSE_test,MAPE_test,R2_test,NB10_MAPE,delta_MAPE,improved,best_lstm_units,best_dense_units,best_dropout,best_learning_rate,best_batch_size
60:40,7498.273656031469,10176.096336827532,34.290902056949804,-0.0994892229741835,32.42514023237129,-1.865761824578513,False,16,16,0.1,0.0005,32
70:30,7507.468896028037,10328.061401505833,37.66896143113735,-0.07754621849310483,37.67476240998375,0.005800978846401961,True,16,16,0.1,0.0005,32
80:20,7064.946044921875,9682.758585596412,26.49234046754992,-0.12264532997679156,26.551118853326034,0.05877838577611527,True,16,32,0.1,0.0005,16
90:10,6931.288411458333,8740.217725532666,17.66644888236255,-0.055586570071026964,17.25137737506791,-0.4150715072946376,False,16,16,0.25,0.0005,16
