split,MAE_test,RMSE_test,MAPE_test,R2_test,NB08_MAPE,delta_MAPE,improved,best_filters,best_kernel_size,best_pool_size,best_dense_units,best_dropout,best_learning_rate,best_batch_size
60:40,8244.296465253496,11079.312781435423,33.615004213012476,-0.3033294347720539,34.998866511137564,1.3838622981250879,True,32,3,2,32,0.3,0.005,32
70:30,8968.90511828271,11849.789184271136,36.89510270795262,-0.41846796748483484,38.602514661662745,1.7074119537101282,True,32,3,2,64,0.2,0.005,32
80:20,8701.173448350695,11293.263742443361,26.872732117366798,-0.5271556654258347,26.811999949376663,-0.060732167990135366,False,64,3,2,64,0.1,0.005,32
90:10,11426.06982421875,14405.40552788744,28.55266157312827,-1.8674795592349307,18.731340349986827,-9.821321223141442,False,64,3,2,64,0.1,0.005,32
