split,fold,MAE,RMSE,MAPE,R2
60:40,1,15475.237611607143,19685.322166599468,32.104272816128166,-0.14370050231838305
60:40,2,10751.707477678572,15598.659550116927,14.725945601726147,-0.38334404434547564
60:40,3,11971.76484375,16360.532970219783,22.218978274195578,-0.17978407811776798
60:40,4,14849.746651785714,19301.63866425275,34.55081436121576,-0.2845234743602474
60:40,5,15962.907589285714,20057.164627456255,33.69053148492575,0.04408045868102717
70:30,1,13586.866901676829,16878.503188415772,28.128736267521354,-0.013023563637177826
70:30,2,12859.368330792682,18055.319982629135,22.36384766966363,-0.6686457731284308
70:30,3,14897.721417682927,19950.245368971868,31.707909241533127,-0.39478630474700305
70:30,4,16644.535727896342,22338.369922050402,33.910547694654674,-0.3050639527928056
70:30,5,6475.465701219512,8578.82908234017,19.556633091772,0.09557641904674785
80:20,1,13688.34059175532,17493.39856368668,22.252577823757434,-0.2800388984748774
80:20,2,12739.64336768617,17284.627437435556,21.9290089423657,-0.49467896210161433
80:20,3,16737.102144281915,22585.797219247972,37.52221319225387,-0.6007592149796845
80:20,4,10552.168924534575,14979.571642755167,28.06114158797669,0.21940433640699286
80:20,5,8018.864943484043,10859.270475773312,49.4107530902759,-0.04588724968567215
90:10,1,13648.905586674528,18045.239962407177,21.26579698417172,-0.4633590865928392
90:10,2,13005.276385613208,16904.8741578608,22.998831093096765,-0.30694255689791716
90:10,3,16837.73076356132,21948.733285442828,41.181936219239404,-0.10409773155811997
90:10,4,7477.981574292453,10483.895433259957,47.689506555457065,-0.06394335098932902
90:10,5,7445.306603773585,10399.74680598639,30.145485086594785,-0.13620988205758944
