split,fold,MAE,RMSE,MAPE,R2
60:40,1,15720.662834821429,19996.08578565245,33.30804753041694,-0.18009573513817956
60:40,2,10434.89564732143,13597.225285861332,15.63247733464972,-0.051129518114829464
60:40,3,11311.216629464287,15825.944677180214,21.71958015979054,-0.10394369262195324
60:40,4,14314.516183035714,19103.168273648847,33.7972137361245,-0.2582428914578414
60:40,5,16286.928794642858,20495.540640959724,33.44321210246745,0.0018380303787066676
70:30,1,14012.073742378048,18418.402180802266,29.99383448977347,-0.20630073128674598
70:30,2,10946.487614329268,14633.635733687726,20.409926832338556,-0.09612038348917351
70:30,3,13549.040110518292,18585.589289786032,29.36813465091634,-0.2104974056543243
70:30,4,15981.143864329268,20206.624874804853,31.534832601573086,-0.06786510526718836
70:30,5,7524.160918445122,9805.670057431043,23.058079965784092,-0.18159977141814432
80:20,1,12184.212682845744,16185.746326429211,19.53023541230932,-0.0958225783253508
80:20,2,11069.332529920213,15037.72857753929,20.476860670849643,-0.13133796033076672
80:20,3,15925.383809840425,20286.48079595062,34.10427602825217,-0.2914232166751636
80:20,4,10513.989278590425,15045.436647318813,28.59441837878774,0.21252470440962246
80:20,5,8795.715176196809,11236.032250065457,52.056510730580754,-0.11972022287511686
90:10,1,12288.107237617925,15920.963125172953,19.918660290688972,-0.13910631195716094
90:10,2,11742.727594339623,15731.41371060369,21.15159806859076,-0.1317959103799471
90:10,3,16544.08195754717,21281.91584924077,39.89785285022135,-0.038030318852195766
90:10,4,7887.518278301887,10897.572287079098,48.76410926514268,-0.14956269167105996
90:10,5,7597.530881485849,10242.388432336336,31.247116952377525,-0.10208607265614278
