split,generation,filters,kernel_size,dense_units,dropout,learning_rate,batch_size,epochs,MAPE_cv_mean,MAE_cv_mean,RMSE_cv_mean,R2_cv_mean
90:10,2,48,2,16,0.1,0.003,32,40,50.633487018967664,17182.922641509434,20507.95462429987,-2.0421435835491346
90:10,2,32,2,64,0.1,0.003,32,40,51.18204952404894,17253.900265330187,20554.28539198274,-2.185686107622151
90:10,2,16,3,16,0.2,0.001,32,80,46.264320684724154,15493.30829893868,18933.724832831103,-1.3883218867013174
90:10,2,32,2,32,0.4,0.003,16,40,48.4229515692203,16306.111379716982,19698.22700372435,-1.6909912520362318
90:10,2,64,2,64,0.4,0.0001,32,40,48.908495665555414,16327.384242334903,19715.314135605986,-1.7108052200098023
90:10,3,24,2,64,0.2,0.003,32,80,48.393301853149865,16351.765964033018,19743.875579776322,-1.6733074913438901
90:10,3,16,3,16,0.4,0.001,32,80,51.90643431678482,17329.84367629717,20625.377127710148,-2.1607129967049237
90:10,3,48,2,16,0.1,0.001,32,40,50.20720500505303,17037.360996462263,20349.323162519322,-1.9852043718600065
90:10,3,48,3,64,0.2,0.003,16,80,53.729837664150935,18102.159625589622,21363.344570786096,-2.506313623904056
90:10,3,64,2,64,0.4,0.003,32,40,53.57933773518952,18233.7640182783,21483.67878363172,-2.567797134335552
90:10,3,16,2,16,0.1,0.001,32,80,50.24311638381762,16762.98347582547,20109.79086973753,-1.910786074587255
90:10,4,16,4,16,0.2,0.0003,32,60,50.247885083080824,16711.376960495283,20107.75366911455,-1.9083470292672176
90:10,4,16,2,16,0.1,0.001,32,60,44.63162441981429,15122.953655660376,18584.963851290737,-1.2110086789249597
90:10,4,24,3,64,0.2,0.003,32,80,51.233133089281104,17241.9031692217,20555.49320998101,-2.069290440276332
90:10,4,32,2,64,0.2,0.0003,16,80,48.55662772198642,16363.947331957548,19776.749123889167,-1.6730235903845792
90:10,4,32,3,16,0.2,0.003,16,40,51.99499714052278,17686.451208726416,20989.693904932014,-2.3017331498417426
